# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (SPLICE_SITE_REGION)	Total score (SPLICE_SITE_REGION)	Length (SPLICE_SITE_REGION)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (DOWNSTREAM)	Count (EXON)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (SPLICE_SITE_REGION)	Count (START_GAINED)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
AA06	AA06	Non-coding_transcript	11	0	5000	1	0	632	0	0	3974	0	0	3342	0	0	4	0	0	4	0	0	0	11	0	5000	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
AAAS	AAAS	mRNA	5	0	5000	1	0	1837	27	0	14173	31	0	12336	0	0	30	0	0	30	0	0	0	4	0	5000	0	0	33	0	0	163	5	0	31	0	0	0	0	0	0	0	0	0	1	0	4	0	0
AACS	AACS	mRNA	11	0	5000	5	0	3321	198	0	77947	191	0	74626	0	0	34	0	0	34	1	0	0	9	0	5000	2	0	1096	0	0	206	11	0	191	1	0	0	0	1	0	0	0	0	4	0	9	2	0
AACSP1	AACSP1	Non-coding_transcript	13	0	5000	10	0	2173	54	0	11414	44	0	9241	0	0	12	0	0	12	1	0	0	25	0	5000	0	0	0	0	0	0	13	10	44	0	0	0	0	1	0	0	0	0	0	0	25	0	0
AADAC	AADAC	mRNA	23	0	5000	2	0	1606	0	0	14416	0	0	12810	0	0	8	0	0	8	0	0	0	22	0	5000	2	0	316	1	0	90	23	0	0	1	0	0	0	0	0	0	0	0	1	0	22	2	1
AADACL2	AADACL2	mRNA	20	0	5000	1	0	1500	0	0	23853	0	0	22353	0	0	8	0	0	8	0	0	0	6	0	5000	0	0	174	0	0	120	20	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0
AADACL3	AADACL3	mRNA	13	0	5000	5	0	4049	45	0	12609	28	0	8560	0	0	6	0	0	6	0	0	0	20	0	5000	11	0	2763	4	0	233	13	0	28	3	1	0	0	0	1	0	0	0	1	0	20	11	4
AADACL4	AADACL4	mRNA	10	0	5000	0	0	1575	59	0	22532	59	0	20957	0	0	6	0	0	6	0	0	0	21	0	5000	0	0	351	0	0	0	10	0	59	0	0	0	0	0	0	0	0	0	0	0	21	0	0
AADAT	AADAT	mRNA	5	0	5000	0	0	2579	51	0	30166	51	0	27587	0	0	26	0	0	30	1	0	0	17	0	5355	0	0	706	0	0	583	5	0	51	0	0	0	0	1	0	0	0	0	0	0	17	0	0
AAED1	AAED1	mRNA	11	0	5000	1	0	1225	26	0	14067	25	0	12842	0	0	10	0	0	10	0	0	0	6	0	5000	0	0	508	0	0	36	11	0	25	1	0	0	0	0	0	0	0	0	0	0	6	0	0
AAGAB	AAGAB	mRNA	1	0	5000	1	0	3406	105	0	54524	98	0	51118	0	0	18	0	0	22	0	0	0	7	0	5462	6	0	2146	0	0	639	1	0	98	1	0	0	0	0	0	0	0	0	0	0	7	6	0
AAK1	AAK1	mRNA	10	0	5000	7	0	21265	573	0	185851	524	0	164586	0	0	42	0	0	42	0	0	0	13	0	5000	42	0	17874	0	0	505	10	0	524	1	0	0	0	0	0	0	0	0	6	0	13	42	0
AAMDC	AAMDC	mRNA	14	0	5000	2	0	504	78	0	51191	83	0	50687	0	0	6	0	0	6	0	0	0	10	0	5000	1	0	37	0	0	98	14	0	83	1	0	0	0	0	0	0	0	0	1	0	10	1	0
AAMP	AAMP	mRNA	9	0	5000	0	0	1793	1	0	6042	6	0	4249	0	0	20	0	0	20	0	0	0	6	0	5000	1	0	404	0	0	84	9	0	6	0	0	0	0	0	0	0	0	0	0	0	6	1	0
AANAT	AANAT	mRNA	7	0	5000	2	0	2149	42	0	16767	40	0	14618	0	0	14	0	0	14	0	0	0	20	0	10000	0	0	147	0	0	1262	7	2	40	2	0	0	0	0	0	0	0	0	0	0	20	0	0
AAR2	AAR2	mRNA	10	0	5000	1	0	2765	11	0	20525	10	0	17760	0	0	6	0	0	8	0	0	0	6	0	5000	0	0	1196	0	0	414	10	0	10	0	0	0	0	0	0	0	0	0	1	0	6	0	0
AARD	AARD	mRNA	7	0	5000	0	0	1786	7	0	5776	5	0	3990	0	0	2	0	0	2	0	0	0	18	0	5000	2	0	1299	0	0	19	7	0	5	0	0	0	0	0	0	0	0	0	0	0	18	2	0
AARS	AARS	mRNA	3	0	5000	3	0	3344	29	0	37116	25	0	33772	0	0	40	0	0	40	0	0	0	6	0	5000	1	0	327	0	0	110	3	0	25	1	0	0	0	0	0	0	0	0	2	0	6	1	0
AARS2	AARS2	mRNA	12	0	5000	5	0	4782	28	0	14601	16	0	9819	0	0	42	0	0	42	0	0	0	22	0	5000	7	0	1821	0	0	3	12	0	16	2	0	0	0	0	0	0	0	0	3	0	22	7	0
AARSD1	AARSD1	mRNA	0	0	5000	1	0	1364	21	0	13973	20	0	12609	0	0	22	0	0	22	0	0	0	10	0	5000	0	0	67	0	0	58	0	0	20	0	0	0	0	0	0	0	0	0	1	0	10	0	0
AASDH	AASDH	mRNA	20	0	10000	7	0	3906	149	0	49224	142	0	45318	0	0	28	0	0	28	0	0	0	26	0	5000	3	0	686	1	0	1155	20	0	142	3	0	0	0	0	1	0	0	0	4	0	26	3	1
AASDHPPT	AASDHPPT	mRNA	8	0	5000	0	0	2861	38	0	21128	35	0	18267	0	0	10	0	0	10	0	0	0	10	0	5000	3	0	1785	0	0	146	8	0	35	0	0	0	0	0	0	0	0	0	0	0	10	3	0
AASS	AASS	mRNA	5	0	5000	0	0	5871	124	0	70747	116	0	64876	0	0	46	0	0	46	0	0	0	17	0	5000	7	0	2945	1	0	145	5	0	116	0	0	0	0	0	0	0	0	0	0	0	17	7	1
AATF	AATF	mRNA	19	0	5000	4	0	2141	202	0	107997	197	0	105856	0	0	22	0	0	22	0	0	0	9	0	5000	0	0	207	1	0	251	19	0	197	1	0	0	0	0	0	0	0	0	3	0	9	0	1
AATK	AATK	mRNA	9	0	5000	4	0	5358	154	0	48777	149	0	43419	0	0	26	0	0	28	0	0	0	28	0	10000	1	0	1106	0	0	247	9	0	149	1	0	0	0	0	0	0	0	0	3	0	28	1	0
AATK-AS1	AATK-AS1	Non-coding_transcript	12	0	5000	3	0	1577	53	0	17658	50	0	16081	0	0	10	0	0	10	0	0	0	17	0	5000	0	0	0	0	0	0	12	3	50	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ABAT	ABAT	mRNA	31	0	5000	1	0	5930	607	0	109989	581	0	104059	0	0	30	0	0	34	3	0	0	75	0	15000	25	0	3145	3	0	1282	31	0	581	1	0	0	0	3	1	0	0	0	0	0	75	25	3
ABCA1	ABCA1	mRNA	5	0	5000	18	0	10502	577	0	147244	552	0	136742	0	0	98	0	0	98	0	0	0	20	0	5000	7	0	3312	0	0	404	5	0	552	6	0	0	0	0	0	0	0	0	12	0	20	7	0
ABCA10	ABCA10	mRNA	9	0	5000	7	0	6331	217	0	96809	203	0	90478	0	0	78	0	0	78	2	0	0	15	0	5000	4	0	820	3	0	879	9	0	203	4	0	0	0	2	0	0	0	0	3	0	15	4	3
ABCA11P	ABCA11P	Non-coding_transcript	10	0	5000	4	0	1895	34	0	48775	37	0	46880	0	0	4	0	0	4	0	0	0	10	0	5000	0	0	0	0	0	0	10	4	37	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ABCA12	ABCA12	mRNA	10	0	5000	11	0	9370	625	0	206886	615	0	197516	0	0	108	0	0	108	2	0	0	35	0	10000	2	0	1092	0	0	379	10	11	615	3	0	0	0	2	0	0	0	0	5	0	35	2	0
ABCA13	ABCA13	mRNA	6	0	5000	42	0	17184	1640	0	476035	1594	0	458851	0	0	122	0	0	122	5	0	0	13	0	5000	4	0	1983	0	0	24	6	0	1594	26	0	0	0	5	0	0	0	0	16	0	13	4	0
ABCA17P	ABCA17P	Non-coding_transcript	6	0	5000	17	0	4188	153	0	85778	136	0	81590	0	0	32	0	0	32	0	0	0	3	0	5000	0	0	0	0	0	0	6	17	136	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ABCA2	ABCA2	mRNA	7	0	5000	1	0	8360	11	0	21689	8	0	13329	0	0	96	0	0	98	0	0	0	6	0	5634	2	0	695	0	0	198	7	0	8	0	0	0	0	0	0	0	0	0	1	0	6	2	0
ABCA3	ABCA3	mRNA	0	0	5000	5	0	6623	95	0	64869	90	0	58246	0	0	64	0	0	64	2	0	0	2	0	5000	0	0	796	0	0	712	0	0	90	0	0	0	0	2	0	0	0	0	5	0	2	0	0
ABCA4	ABCA4	mRNA	16	0	5000	13	0	7325	460	0	128312	445	0	120987	0	0	98	0	0	98	3	0	0	33	0	5000	2	0	399	0	0	104	16	0	445	4	0	0	0	3	0	0	0	0	9	0	33	2	0
ABCA5	ABCA5	mRNA	15	0	5000	8	0	9380	230	0	82748	212	0	73368	0	0	76	0	0	76	1	0	0	28	0	10000	10	0	3102	2	0	1349	15	0	212	7	0	0	0	1	1	0	0	0	1	0	28	10	2
ABCA6	ABCA6	mRNA	9	0	5000	8	0	5296	116	0	63169	107	0	57873	0	0	76	0	0	76	1	0	0	10	0	5000	1	0	267	0	0	175	9	0	107	7	0	0	0	1	0	0	0	0	1	0	10	1	0
ABCA7	ABCA7	mRNA	8	0	5000	10	0	6818	55	0	25469	44	0	18651	0	0	92	0	0	92	3	0	0	25	0	5000	1	0	146	0	0	231	8	0	44	3	0	0	0	3	0	0	0	0	7	0	25	1	0
ABCA8	ABCA8	mRNA	7	0	5000	4	0	6004	217	0	88106	212	0	82102	0	0	80	0	0	78	1	0	0	11	0	5000	1	0	798	0	0	340	7	0	212	0	0	0	0	1	0	0	0	0	4	0	11	1	0
ABCA9	ABCA9	mRNA	21	0	5000	4	0	6301	161	0	86364	151	0	80063	0	0	76	0	0	76	0	0	0	11	0	5000	6	0	1283	0	0	143	21	0	151	3	0	0	0	0	0	0	0	0	1	0	11	6	0
ABCB1	ABCB1	mRNA	10	0	5000	5	0	4716	422	0	209461	413	0	204745	0	0	56	0	0	56	1	0	0	10	0	5000	2	0	380	2	0	493	10	0	413	1	0	0	0	1	0	0	0	0	4	0	10	2	2
ABCB10	ABCB10	mRNA	5	0	5000	2	0	3857	66	0	42114	61	0	38257	0	0	24	0	0	24	0	0	0	10	0	5000	3	0	1597	0	0	43	5	0	61	0	0	0	0	0	0	0	0	0	2	0	10	3	0
ABCB11	ABCB11	mRNA	24	0	5000	7	0	4775	361	0	108385	352	0	103610	0	0	54	0	0	54	1	0	0	7	0	5000	2	0	683	0	0	126	24	0	352	2	0	0	0	1	0	0	0	0	5	0	7	2	0
ABCB4	ABCB4	mRNA	12	0	5000	9	0	3988	187	0	73659	178	0	69671	0	0	56	0	0	54	1	0	0	18	0	5000	0	0	51	0	0	76	12	0	178	2	0	0	0	1	0	0	0	0	7	0	18	0	0
ABCB5	ABCB5	mRNA	80	0	15000	13	0	7728	653	0	141393	635	0	133665	0	0	58	1	0	54	1	0	0	33	0	10000	22	0	3492	3	0	783	80	0	635	8	0	0	1	1	0	1	0	0	5	0	33	22	3
ABCB6	ABCB6	mRNA	7	0	5000	2	0	3018	6	0	9225	9	0	6207	0	0	36	0	0	36	0	0	0	11	0	5000	1	0	172	1	0	317	7	0	9	1	0	0	0	0	0	0	0	0	1	0	11	1	1
ABCB7	ABCB7	mRNA	3	0	5000	0	0	2528	67	0	103169	67	0	100641	0	0	32	0	0	30	0	0	0	6	0	5000	0	0	198	0	0	68	3	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ABCB8	ABCB8	mRNA	5	0	5000	2	0	4735	45	0	19361	38	0	14626	0	0	32	0	0	34	0	0	0	10	0	5000	5	0	2433	0	0	94	5	0	38	1	0	0	0	0	0	0	0	0	1	0	10	5	0
ABCB9	ABCB9	mRNA	22	0	13041	0	0	3909	52	0	45559	52	0	41650	0	0	26	0	0	22	0	0	0	6	0	5000	3	0	1280	0	0	310	22	0	52	0	0	0	0	0	0	0	0	0	0	0	6	3	0
ABCC1	ABCC1	mRNA	15	0	5000	6	0	6563	699	0	193497	686	0	186934	0	0	60	0	0	60	2	0	0	8	0	5000	7	0	1792	0	0	175	15	0	686	0	0	0	0	2	0	0	0	0	6	0	8	7	0
ABCC10	ABCC10	mRNA	7	0	5000	1	0	5464	38	0	22872	36	0	17408	0	0	44	0	0	42	3	0	0	16	0	9197	1	0	334	1	0	574	7	0	36	1	0	0	0	3	0	0	0	0	0	0	16	1	1
ABCC11	ABCC11	mRNA	4	0	5000	10	0	4908	150	0	68267	141	0	63359	0	0	58	0	0	58	2	0	0	32	0	7906	1	0	363	0	0	396	4	0	141	5	0	0	0	2	0	0	0	0	5	0	32	1	0
ABCC12	ABCC12	mRNA	7	0	5000	13	0	5168	108	0	63798	95	0	58630	0	0	56	0	0	56	2	0	0	17	0	5000	0	0	742	0	0	346	7	0	95	8	0	0	0	2	0	0	0	0	5	0	17	0	0
ABCC13	ABCC13	Non-coding_transcript	35	0	10000	9	0	2924	100	0	27573	91	0	24649	0	0	12	0	0	10	0	0	0	27	0	5000	0	0	0	0	0	0	35	9	91	0	0	0	0	0	0	0	0	0	0	0	27	0	0
ABCC2	ABCC2	mRNA	9	0	5000	8	0	5446	122	0	69595	113	0	64149	0	0	62	0	0	62	0	0	0	15	0	5000	0	0	561	1	0	247	9	0	113	5	0	0	0	0	1	0	0	0	3	0	15	0	1
ABCC3	ABCC3	mRNA	19	0	10000	6	0	5271	107	0	56846	100	0	51575	0	0	60	0	0	60	0	0	0	8	0	5000	1	0	588	0	0	80	19	0	100	1	0	0	0	0	0	0	0	0	5	0	8	1	0
ABCC4	ABCC4	mRNA	23	0	10000	7	0	6252	1021	0	281605	1002	0	275353	0	0	62	0	0	60	1	0	0	22	0	5000	13	0	2110	0	0	119	23	0	1002	0	0	0	0	1	0	0	0	0	7	0	22	13	0
ABCC5	ABCC5	mRNA	41	0	10000	6	0	7060	246	0	98004	238	0	90944	0	0	62	0	0	60	1	0	0	25	0	5000	4	0	2545	0	0	165	41	0	238	0	0	0	0	1	0	0	0	0	6	0	25	4	0
ABCC5-AS1	ABCC5-AS1	Non-coding_transcript	12	0	5000	2	0	469	0	0	5082	0	0	4613	0	0	4	0	0	4	0	0	0	17	0	5000	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ABCC6	ABCC6	mRNA	4	0	10000	11	0	5579	222	0	73907	210	0	68328	0	0	60	0	0	60	0	0	0	0	0	5000	1	0	949	0	0	37	4	0	210	6	0	0	0	0	0	0	0	0	5	0	0	1	0
ABCC6P1	ABCC6P1	Non-coding_transcript	0	0	5000	0	0	2724	5	0	27038	5	0	24314	0	0	18	0	0	18	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	ABCC6P2	Non-coding_transcript	0	0	5000	0	0	706	0	0	2271	0	0	1565	0	0	2	0	0	2	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ABCC8	mRNA	15	0	5000	9	0	4924	268	0	83961	259	0	79037	0	0	78	0	0	76	1	0	0	24	0	5000	0	0	106	0	0	69	15	0	259	1	0	0	0	1	0	0	0	0	8	0	24	0	0
ABCC9	ABCC9	mRNA	9	0	10000	2	0	8462	338	0	139305	335	0	130843	0	0	76	0	0	74	1	0	0	7	0	5000	0	0	3654	1	0	20	9	0	335	0	0	0	0	1	0	0	0	0	2	0	7	0	1
ABCD1	ABCD1	mRNA	4	0	5000	1	0	3664	14	0	19894	13	0	16230	0	0	18	0	0	18	0	0	0	2	0	5000	0	0	1027	0	0	399	4	0	13	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ABCD2	ABCD2	mRNA	5	0	5000	3	0	5341	111	0	68822	105	0	63481	0	0	18	0	0	18	0	0	0	2	0	5000	3	0	2692	0	0	426	5	0	105	1	0	0	0	0	0	0	0	0	2	0	2	3	0
ABCD3	ABCD3	mRNA	6	0	10000	1	0	3797	100	0	100287	96	0	96490	0	0	46	0	0	44	0	0	0	4	0	5000	3	0	1688	0	0	102	6	0	96	0	0	0	0	0	0	0	0	0	1	0	4	3	0
ABCD4	ABCD4	mRNA	20	0	5000	16	0	3157	82	0	17788	68	0	14631	0	0	36	0	0	36	1	0	0	9	0	5000	5	0	1184	0	0	152	20	14	68	5	0	0	0	1	0	0	0	0	6	0	9	5	0
ABCE1	ABCE1	mRNA	1	0	5000	0	0	4194	32	0	31521	31	0	27327	0	0	36	0	0	34	1	0	0	7	0	5000	1	0	1951	0	0	443	1	0	31	0	0	0	0	1	0	0	0	0	0	0	7	1	0
ABCF1	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	49	0	0	49	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.2	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	48	0	0	48	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.3	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20136	0	0	16672	0	0	49	0	0	49	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.4	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20139	0	0	16675	0	0	49	0	0	49	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.5	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	48	0	0	48	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.6	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20136	0	0	16672	0	0	49	0	0	49	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1.7	ABCF1	mRNA	0	0	5000	0	0	3464	0	0	20140	0	0	16676	0	0	48	0	0	48	0	0	0	0	0	5000	0	0	831	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	ABCF2	mRNA	19	0	8647	4	0	4967	57	0	19538	52	0	14571	0	0	30	0	0	30	0	0	0	14	0	5000	17	0	2804	1	0	254	19	0	52	0	0	0	0	0	1	0	0	0	4	0	14	17	1
ABCF3	ABCF3	mRNA	15	0	5000	1	0	2572	19	0	7933	17	0	5361	0	0	40	0	0	40	0	0	0	9	0	5000	1	0	309	0	0	133	15	0	17	0	0	0	0	0	0	0	0	0	1	0	9	1	0
ABCG1	ABCG1	mRNA	17	0	5000	0	0	3605	243	0	97556	242	0	93951	0	0	32	0	0	40	1	0	0	33	0	13944	1	0	852	0	0	632	17	0	242	0	0	0	0	1	0	0	0	0	0	0	33	1	0
ABCG2	ABCG2	mRNA	4	0	5000	2	0	4760	414	0	141059	410	0	136299	0	0	32	0	0	32	0	0	0	21	0	10000	0	0	2092	2	0	822	4	0	410	2	0	0	0	0	0	0	0	0	0	0	21	0	2
ABCG4	ABCG4	mRNA	1	0	5000	0	0	3935	19	0	13625	18	0	9690	0	0	28	0	0	30	0	0	0	13	0	5549	1	0	1558	0	0	436	1	0	18	0	0	0	0	0	0	0	0	0	0	0	13	1	0
ABCG5	ABCG5	mRNA	11	0	5000	3	0	2740	85	0	26348	77	0	23608	0	0	24	0	0	24	0	0	0	19	0	5000	5	0	644	0	0	140	11	0	77	2	0	0	0	0	0	0	0	0	1	0	19	5	0
ABCG8	ABCG8	mRNA	18	0	5000	8	0	2665	248	0	39503	239	0	36838	0	0	24	0	0	24	2	0	0	17	0	5000	0	0	553	1	0	90	18	0	239	6	0	0	0	2	0	0	0	0	2	0	17	0	1
ABHD1	ABHD1	mRNA	7	0	5000	2	0	1446	16	0	7024	14	0	5578	0	0	16	0	0	16	0	0	0	5	0	5000	0	0	68	0	0	160	7	0	14	2	0	0	0	0	0	0	0	0	0	0	5	0	0
ABHD10	ABHD10	Non-coding_transcript	16	0	5000	8	0	2806	51	0	14493	43	0	11687	0	0	10	0	0	10	0	0	0	29	0	5000	6	0	2002	2	0	186	16	8	43	1	0	0	0	0	0	0	0	0	0	0	29	6	2
ABHD11	ABHD11	mRNA	10	0	5002	4	0	1645	0	0	2766	4	0	1121	0	0	12	0	0	12	1	0	0	7	0	5006	1	0	464	0	0	57	10	4	4	1	0	0	0	1	0	0	0	0	1	0	7	1	0
ABHD12	ABHD12	mRNA	25	0	10000	2	0	2411	210	0	96240	208	0	93829	0	0	26	0	0	24	0	0	0	5	0	5000	4	0	877	0	0	279	25	0	208	1	0	0	0	0	0	0	0	0	1	0	5	4	0
ABHD12B	ABHD12B	mRNA	11	0	5000	4	0	1708	88	0	32811	80	0	31103	0	0	24	0	0	24	1	0	0	11	0	5000	4	0	604	0	0	15	11	0	80	3	0	0	0	1	0	0	0	0	1	0	11	4	0
ABHD13	ABHD13	mRNA	10	0	5000	0	0	5302	22	0	15841	23	0	10539	0	0	2	0	0	2	0	0	0	15	0	5000	6	0	4023	0	0	265	10	0	23	0	0	0	0	0	0	0	0	0	0	0	15	6	0
ABHD14A	ABHD14A	mRNA	7	0	5000	0	0	1108	0	0	6175	0	0	5067	0	0	8	0	0	8	1	0	0	1	0	5000	0	0	182	0	0	110	7	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0
ABHD14A-ACY1	ABHD14A-ACY1	Non-coding_transcript	0	0	5000	2	0	1879	29	0	14177	27	0	12298	0	0	32	0	0	32	0	0	0	0	0	5000	0	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	ABHD14B	mRNA	3	0	5000	0	0	2437	1	0	6121	5	0	3684	0	0	8	0	0	6	0	0	0	13	0	5000	2	0	916	0	0	888	3	0	5	0	0	0	0	0	0	0	0	0	0	0	13	2	0
ABHD15	ABHD15	mRNA	7	0	5000	2	0	3355	6	0	6354	3	0	2999	0	0	2	0	0	2	0	0	0	3	0	5000	1	0	1890	0	0	58	7	0	3	1	0	0	0	0	0	0	0	0	1	0	3	1	0
ABHD16A	ABHD16A	mRNA	0	0	5000	0	0	2481	0	0	16413	0	0	13932	0	0	38	0	0	40	0	0	0	0	0	5287	0	0	263	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A.2	ABHD16A	mRNA	0	0	5000	0	0	2481	0	0	16411	0	0	13930	0	0	38	0	0	40	0	0	0	0	0	5287	0	0	263	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
